"location","population","people_vaccinated","people_fully_vaccinated","percentage_vaccinated","percentage_fully_vaccinated"
India,1393409033,586105233,191282617,"0.4206","0.1373"
Thailand,69950844,28436015,14285995,"0.4065","0.2042"
Trinidad and Tobago,1403374,555534,459411,"0.3959","0.3274"
Tunisia,11935764,4610453,3128815,"0.3863","0.2621"
Tonga,106759,41130,27274,"0.3853","0.2555"
Kazakhstan,18994958,7228047,6059729,"0.3805","0.3190"
Peru,33359415,12354190,8916987,"0.3703","0.2673"
North Macedonia,2082661,767653,667739,"0.3686","0.3206"
Kosovo,1932774,710945,399341,"0.3678","0.2066"
Suriname,591798,216536,159506,"0.3659","0.2695"
Montenegro,628051,229399,202768,"0.3653","0.3229"
Laos,7379358,2650948,1860415,"0.3592","0.2521"
Paraguay,7219641,2550991,1850231,"0.3533","0.2563"
Jordan,10269022,3615365,3154933,"0.3521","0.3072"
Bolivia,11832936,4161019,3017983,"0.3516","0.2550"
New Caledonia,288217,101168,75645,"0.3510","0.2625"
Dominica,72172,23300,20671,"0.3228","0.2864"
Russia,145912022,46745074,40522552,"0.3204","0.2777"
Albania,2872934,911372,721614,"0.3172","0.2512"
Timor,1343875,408918,234406,"0.3043","0.1744"
Montserrat,4981,1466,1374,"0.2943","0.2758"
Honduras,10062994,2947650,1689501,"0.2929","0.1679"
Uzbekistan,33935765,9787973,3345225,"0.2884","0.0986"
Indonesia,276361788,77417488,44124715,"0.2801","0.1597"
Romania,19127772,5347116,5237170,"0.2795","0.2738"
Iran,85028760,22943141,12549387,"0.2698","0.1476"
Vietnam,98168829,26307653,5988864,"0.2680","0.0610"
Bahamas,396914,105753,65915,"0.2664","0.1661"
Grenada,113015,28511,19629,"0.2523","0.1737"
Palestine,5222756,1271801,538410,"0.2435","0.1031"
Venezuela,28704947,6822809,4271397,"0.2377","0.1488"
Pakistan,225199929,53396378,23241257,"0.2371","0.1032"
Georgia,3979773,935094,675215,"0.2350","0.1697"
Saint Lucia,184401,42594,28923,"0.2310","0.1568"
Tajikistan,9749625,2168537,1278240,"0.2224","0.1311"
Lebanon,6769151,1499772,1204386,"0.2216","0.1779"
Guatemala,18249868,4017554,1946640,"0.2201","0.1067"
Nepal,29674920,6083124,5507380,"0.2050","0.1856"
Sao Tome and Principe,223364,45088,12066,"0.2019","0.0540"
Kiribati,121388,24429,6903,"0.2012","0.0569"
Comoros,888456,174765,159604,"0.1967","0.1796"
Bosnia and Herzegovina,3263459,634063,426082,"0.1943","0.1306"
Zimbabwe,15092171,2930550,2033752,"0.1942","0.1348"
South Africa,60041996,11367049,7734069,"0.1893","0.1288"
Belarus,9442867,1751254,1455251,"0.1855","0.1541"
Libya,6958538,1246217,135092,"0.1791","0.0194"
Saint Vincent and the Grenadines,111269,19512,12644,"0.1754","0.1136"
Jamaica,2973462,506797,216103,"0.1704","0.0727"
Philippines,111046910,18697647,17977462,"0.1684","0.1619"
Bulgaria,6896655,1089066,1272680,"0.1579","0.1845"
Eswatini,1172369,180709,172985,"0.1541","0.1476"
Botswana,2397240,365655,221940,"0.1525","0.0926"
Equatorial Guinea,1449891,210358,159805,"0.1451","0.1102"
Ukraine,43466822,6248153,5114061,"0.1437","0.1177"
Moldova,4024025,573001,750553,"0.1424","0.1865"
Rwanda,13276517,1827371,1054763,"0.1376","0.0794"
Algeria,44616626,5815039,4174623,"0.1303","0.0936"
Bangladesh,166303494,21559401,14302442,"0.1296","0.0860"
Vanuatu,314464,39347,11273,"0.1251","0.0358"
Kyrgyzstan,6628347,760466,557094,"0.1147","0.0840"
Solomon Islands,703995,74573,23171,"0.1059","0.0329"
Iraq,41179351,4203578,2468604,"0.1021","0.0599"
Myanmar,54806014,4944654,3239764,"0.0902","0.0591"
Namibia,2587344,232051,142127,"0.0897","0.0549"
Egypt,104258327,7743420,4245776,"0.0743","0.0407"
Nicaragua,6702379,490472,278633,"0.0732","0.0416"
Armenia,2968128,215278,120443,"0.0725","0.0406"
Gambia,2486937,179910,165785,"0.0723","0.0667"
Guinea,13497237,953942,433757,"0.0707","0.0321"
Senegal,17196308,1203066,564998,"0.0700","0.0329"
Mauritania,4775110,311544,21545,"0.0652","0.0045"
Mozambique,32163045,1864229,1563257,"0.0580","0.0486"
Togo,8478242,414249,237692,"0.0489","0.0280"
Angola,33933611,1510880,958453,"0.0445","0.0282"
Kenya,54985702,2439528,850922,"0.0444","0.0155"
Cote d'Ivoire,27053629,1193877,273400,"0.0441","0.0101"
Djibouti,1002197,39923,26087,"0.0398","0.0260"
Malawi,19647681,742169,469604,"0.0378","0.0239"
Gabon,2278829,84214,62250,"0.0370","0.0273"
Congo,5657017,207265,111966,"0.0366","0.0198"
Lesotho,2159067,71597,32181,"0.0332","0.0149"
Ghana,31732128,865422,405971,"0.0273","0.0128"
Sierra Leone,8141343,181065,40045,"0.0222","0.0049"
Uganda,47123533,1030447,366658,"0.0219","0.0078"
Central African Republic,4919987,102591,9901,"0.0209","0.0020"
Ethiopia,117876226,2414898,545211,"0.0205","0.0046"
Liberia,5180208,104545,27392,"0.0202","0.0053"
Nigeria,211400704,4146028,1712709,"0.0196","0.0081"
Afghanistan,39835428,773002,430744,"0.0194","0.0108"
Zambia,18920657,311049,291947,"0.0164","0.0154"
Niger,25130810,404246,87492,"0.0161","0.0035"
Sudan,44909351,648840,505413,"0.0144","0.0113"
Somalia,16359500,231089,120216,"0.0141","0.0073"
Guinea-Bissau,2015490,28097,2993,"0.0139","0.0015"
Mali,20855724,284052,86477,"0.0136","0.0041"
Cameroon,27224262,363773,80748,"0.0134","0.0030"
Papua New Guinea,9119005,114419,40291,"0.0125","0.0044"
Benin,12451031,152669,42212,"0.0123","0.0034"
Syria,18275704,201379,201379,"0.0110","0.0110"
Yemen,30490639,308025,14909,"0.0101","0.0005"
Burkina Faso,21497097,166160,102268,"0.0077","0.0048"
Madagascar,28427333,210666,86090,"0.0074","0.0030"
Tanzania,61498438,350000,350000,"0.0057","0.0057"
Turkmenistan,6117933,32240,9753,"0.0053","0.0016"
Chad,16914985,86821,17886,"0.0051","0.0011"
South Sudan,11381377,55182,11927,"0.0048","0.0010"
Haiti,11541683,40198,17484,"0.0035","0.0015"
Democratic Republic of Congo,92377986,85182,25452,"0.0009","0.0003"
Vatican,812,0,0,"0.0000","0.0000"
Eritrea,3601462,0,0,"0.0000","0.0000"
Burundi,12255429,0,0,"0.0000","0.0000"
Marshall Islands,59618,0,0,"0.0000","0.0000"
Micronesia (country),116255,0,0,"0.0000","0.0000"
Palau,18174,0,0,"0.0000","0.0000"
